Competence,Skilled,,Unskilled
Convincing skills,"Shares opinions, point of views by using the apporopriate arguments, influencing methods and/or personal authority, Tries to achieve a win-win situation by detecting and empasizing the potential benefits for all parties concerned",,"Is not charismatic or passionate enough to excite and energize others. Can't simplify enough to help people understand complex strategy. Is not able to produce a logical and relevent arguments and counter-arguments at the right time, Is not able to achieve a win-win situation"
Presentation skills,"Presents information in a clear and well-structured way, using the appropriate audiovisual tools. Adjusts the contents of a presentation to the listening audience, and keeps their expectations and level in mind",,"Presents repeatedly in het same way and does not adjust to the audience. May be nevours or even scared when speaking for a group. Is disorganized, has lack of focus"
Oral communication,"Is able to present a verbal message to a conversation partner in an effective manner. Adjusts his vocabulary taking into account to the level, attitude and knowledge of his conversation partner",,"Skips form one subject to another. Loses him/herself in details during a conversation, does not stick to the main issue. Does not bring his/her ideas in a logical manner. Doesn't check if the conversation partner received and understoond the message"
Written communication,"Has the ability to clearly communicate a message in writing to the apporpriate persons. Utilizes various communication channels, depending on the situation, availability and requirements of the addressee",,"Has difficulty  to get the point, doesn't arrive at a clear and definitve decision, has difficulties with making a logical structure and doesn't use the style and vocabulary suited for the medium and the situation"
Listening skills,Attentively picks up useful information from verbal and non-verbal messages. Asks for clarification or explanation if the message of the conversation partner is unclear. Summarizes or reviews the message of the conversation partner  to ensure that the message was understoond correctly,,"Interrupts to make a pronouncement or render a solution or decision. Does not learn much from interactions with others. Appears not to listen or is too busy constructing his/her own response, misses the point others are trying to make"
Social fluency,"Approaches others with ease, and mingles well in a crowd. Is able to speak to a group of people. Knows how to keep a conversation going",,Has difficulty to speak to a group of people. May look as uncooperatively. Is not able to find common ground with a listener. Does not gain trust easily with others. 
Multicultural awareness,"Is aware of the impact, traps and chances offered by differences between countries and cultural groups, shows interest in and tries to understand aspects of other cultures. Adapts to cultural norms during interactions with others and keeps their sensitivities in mind",,Is not effective with groups much different from him/her. Treats everybody the same without regard to their differences. May carry around negatieve and demeining sterotypes he/she has trouble getting rid of                                                                                  
Team oriented,"Actively contributes to a joint effort, even if the subject is not directly related to his/her own interests. Openly discusses conflicts, which are relevant to the team performance within the team and not outside the group. Respects the equality of team members troughout the various disciplines",,"Is not good at lateral cross-boundary relations. Is not open for negotiation, does not have the greater good in mind. May be very competitive, play and maneuver for advantage and withold information for the team. Does not openly discuss conflicts"
Empathy,"Recognizes the feelings, expectations and desires of others and operates with these in mind. Shows understanding for other's feelings, desires and interests. Tries in advance to estimate the impact of his/her statements on others before making them, and operate with this in mind ",,"Is uncomfortable around people with problems, does not openly discusses conflicts but avoids them.  Is not able to recognize a wide range of feelings, and is not attentive to the emotional state of others, shows him/herself as less caring "
Stress resistance,"Has the ability to maintain work efficiency in difficult or ambiguous situations (under pressure, or in the event of setbacks or negative criticism). Quickly recovers after disappointments or setbacks. Is able to function well in fluid situations. Is able to deal with the pressure arising form risks tasks",,"Is not very flexible, may be seen as rigidly following and overdoing his/her one best way. Lacks self-confidence and is easly overwhelmed. Is unable to remain calm when pressure arises. "
Result oriented,"Actively focused on achieving results and goals while being prepared and flexible enough to deal with setbacks. Makes an extra effort on his/her own initiative, spares no effort to achieve the desired results. Deals with the workload in a flexible style. Doesn't achieve results at the costs of others",, Doesn't deliver results consistenly. Is not committed to the job and procrastinates. Fails to set priorities. Wastes time and resources pursuing non-essentials. 
Decision making,"Has the ability to make choices about work tasks while keeping urgency and available information in mind. Questions the information obtained, does not decide based on unconfirmed facts. Seeks out and obtains additional information to make a decision. Does not delay a final decision unnecessarily",,"Seeks more information to build confidence and avoid risk, may be disorganized and always scrambling to meet decision deadlines or makes important choices impulsively based on insufficient or incomplete information"
Organizational skills,"Effectively determine goals and priorities along with the time requirements, actions and means necesary to reach certain goals. Has a good overview of the tasks and organizes them in terms of importance. Determines the specific means, deadlines, priorities and situations",,"Is a poor delegator and planner and not very motivating to work with, does not pull resources togheter effectively. Loses overview and doesn't see how multiple activities come together"
